date,precinct,accident_count
2020-01-01,CENTRA,3
2020-01-01,EAST,3
2020-01-01,HERMIT,11
2020-01-01,MADISO,4
2020-01-01,MIDTOW,3
2020-01-01,NORTH,4
2020-01-01,SOUTH,12
2020-01-01,WEST,4
2020-01-02,CENTRA,7
2020-01-02,EAST,8
2020-01-02,HERMIT,15
2020-01-02,MADISO,14
2020-01-02,MIDTOW,16
2020-01-02,NORTH,13
2020-01-02,SOUTH,29
2020-01-02,WEST,15
2020-01-03,CENTRA,9
2020-01-03,EAST,20
2020-01-03,HERMIT,29
2020-01-03,MADISO,11
2020-01-03,MIDTOW,9
2020-01-03,NORTH,13
2020-01-03,SOUTH,24
2020-01-03,WEST,12
2020-01-04,CENTRA,4
2020-01-04,EAST,4
2020-01-04,HERMIT,10
2020-01-04,MADISO,5
2020-01-04,MIDTOW,11
2020-01-04,NORTH,4
2020-01-04,SOUTH,15
2020-01-04,WEST,2
2020-01-05,CENTRA,1
2020-01-05,EAST,7
2020-01-05,HERMIT,13
2020-01-05,MADISO,3
2020-01-05,MIDTOW,5
2020-01-05,SOUTH,7
2020-01-05,WEST,5
2020-01-06,CENTRA,7
2020-01-06,EAST,13
2020-01-06,HERMIT,9
2020-01-06,MADISO,6
2020-01-06,MIDTOW,11
2020-01-06,NORTH,11
2020-01-06,SOUTH,20
2020-01-06,WEST,9
2020-01-07,CENTRA,13
2020-01-07,EAST,4
2020-01-07,HERMIT,19
2020-01-07,MADISO,7
2020-01-07,MIDTOW,25
2020-01-07,NORTH,10
2020-01-07,SOUTH,23
2020-01-07,WEST,9
2020-01-08,CENTRA,7
2020-01-08,EAST,7
2020-01-08,HERMIT,10
2020-01-08,MADISO,8
2020-01-08,MIDTOW,19
2020-01-08,NORTH,8
2020-01-08,SOUTH,16
2020-01-08,WEST,9
2020-01-09,CENTRA,9
2020-01-09,EAST,7
2020-01-09,HERMIT,15
2020-01-09,MADISO,6
2020-01-09,MIDTOW,16
2020-01-09,NORTH,9
2020-01-09,SOUTH,20
2020-01-09,WEST,12
2020-01-10,CENTRA,11
2020-01-10,EAST,11
2020-01-10,HERMIT,12
2020-01-10,MADISO,9
2020-01-10,MIDTOW,16
2020-01-10,NORTH,11
2020-01-10,SOUTH,21
2020-01-10,WEST,9
2020-01-11,CENTRA,10
2020-01-11,EAST,8
2020-01-11,HERMIT,13
2020-01-11,MADISO,12
2020-01-11,MIDTOW,13
2020-01-11,NORTH,9
2020-01-11,SOUTH,19
2020-01-11,WEST,11
2020-01-12,CENTRA,4
2020-01-12,EAST,5
2020-01-12,HERMIT,9
2020-01-12,MADISO,5
2020-01-12,MIDTOW,9
2020-01-12,NORTH,7
2020-01-12,SOUTH,12
2020-01-12,WEST,5
2020-01-13,CENTRA,3
2020-01-13,EAST,9
2020-01-13,HERMIT,14
2020-01-13,MADISO,6
2020-01-13,MIDTOW,7
2020-01-13,NORTH,5
2020-01-13,SOUTH,22
2020-01-13,WEST,10
2020-01-14,CENTRA,10
2020-01-14,EAST,12
2020-01-14,HERMIT,16
2020-01-14,MADISO,6
2020-01-14,MIDTOW,24
2020-01-14,NORTH,7
2020-01-14,SOUTH,18
2020-01-14,WEST,9
2020-01-15,CENTRA,7
2020-01-15,EAST,7
2020-01-15,HERMIT,15
2020-01-15,MADISO,10
2020-01-15,MIDTOW,19
2020-01-15,NORTH,10
2020-01-15,SOUTH,17
2020-01-15,WEST,15
2020-01-16,CENTRA,6
2020-01-16,EAST,7
2020-01-16,HERMIT,17
2020-01-16,MADISO,10
2020-01-16,MIDTOW,15
2020-01-16,NORTH,9
2020-01-16,SOUTH,18
2020-01-16,WEST,7
2020-01-17,CENTRA,13
2020-01-17,EAST,12
2020-01-17,HERMIT,13
2020-01-17,MADISO,10
2020-01-17,MIDTOW,9
2020-01-17,NORTH,11
2020-01-17,SOUTH,16
2020-01-17,WEST,2
2020-01-18,CENTRA,13
2020-01-18,EAST,8
2020-01-18,HERMIT,12
2020-01-18,MADISO,7
2020-01-18,MIDTOW,11
2020-01-18,NORTH,9
2020-01-18,SOUTH,18
2020-01-18,WEST,6
2020-01-19,CENTRA,11
2020-01-19,EAST,1
2020-01-19,HERMIT,9
2020-01-19,MADISO,6
2020-01-19,MIDTOW,12
2020-01-19,NORTH,6
2020-01-19,SOUTH,11
2020-01-19,WEST,4
2020-01-20,EAST,6
