laus_code,State,County,Name,Period,LF,Employed,Unemployed,unemployment_rate
CN4700100000000,47,001,"Anderson County, TN",Mar-21,"34,704     ","33,010     ","1,694     ",4.9     
CN4700300000000,47,003,"Bedford County, TN",Mar-21,"20,623     ","19,550     ","1,073     ",5.2     
CN4700500000000,47,005,"Benton County, TN",Mar-21,"6,723     ","6,305     ",418     ,6.2     
CN4700700000000,47,007,"Bledsoe County, TN",Mar-21,"4,252     ","3,947     ",305     ,7.2     
CN4700900000000,47,009,"Blount County, TN",Mar-21,"64,098     ","61,119     ","2,979     ",4.6     
CN4701100000000,47,011,"Bradley County, TN",Mar-21,"52,015     ","49,347     ","2,668     ",5.1     
CN4701300000000,47,013,"Campbell County, TN",Mar-21,"14,940     ","13,984     ",956     ,6.4     
CN4701500000000,47,015,"Cannon County, TN",Mar-21,"6,566     ","6,275     ",291     ,4.4     
CN4701700000000,47,017,"Carroll County, TN",Mar-21,"12,037     ","11,357     ",680     ,5.6     
CN4701900000000,47,019,"Carter County, TN",Mar-21,"23,739     ","22,414     ","1,325     ",5.6     
CN4702100000000,47,021,"Cheatham County, TN",Mar-21,"21,714     ","20,830     ",884     ,4.1     
CN4702300000000,47,023,"Chester County, TN",Mar-21,"8,424     ","8,062     ",362     ,4.3     
CN4702500000000,47,025,"Claiborne County, TN",Mar-21,"12,981     ","12,236     ",745     ,5.7     
CN4702700000000,47,027,"Clay County, TN",Mar-21,"2,743     ","2,557     ",186     ,6.8     
CN4702900000000,47,029,"Cocke County, TN",Mar-21,"14,440     ","13,453     ",987     ,6.8     
CN4703100000000,47,031,"Coffee County, TN",Mar-21,"25,370     ","24,124     ","1,246     ",4.9     
CN4703300000000,47,033,"Crockett County, TN",Mar-21,"6,838     ","6,494     ",344     ,5.0     
CN4703500000000,47,035,"Cumberland County, TN",Mar-21,"22,627     ","21,137     ","1,490     ",6.6     
CN4703700000000,47,037,"Davidson County, TN",Mar-21,"401,940     ","383,381     ","18,559     ",4.6     
CN4703900000000,47,039,"Decatur County, TN",Mar-21,"4,349     ","4,043     ",306     ,7.0     
CN4704100000000,47,041,"DeKalb County, TN",Mar-21,"7,640     ","7,173     ",467     ,6.1     
CN4704300000000,47,043,"Dickson County, TN",Mar-21,"26,806     ","25,660     ","1,146     ",4.3     
CN4704500000000,47,045,"Dyer County, TN",Mar-21,"15,731     ","14,812     ",919     ,5.8     
