,id,Vaccination Date,Zip Code,Count Given,Dose Number,Protocol
0,0,2020-12-12,37215.0,1.0,1.0,two-shot
1,1,2020-12-14,37205.0,1.0,2.0,two-shot
2,2,2020-12-14,37215.0,1.0,1.0,two-shot
3,3,2020-12-15,37221.0,1.0,1.0,two-shot
4,4,2020-12-16,37215.0,1.0,1.0,two-shot
5,5,2020-12-17,37013.0,16.0,1.0,two-shot
6,6,2020-12-17,37072.0,8.0,1.0,two-shot
7,7,2020-12-17,37076.0,5.0,1.0,two-shot
8,8,2020-12-17,37080.0,2.0,1.0,two-shot
9,9,2020-12-17,37115.0,1.0,1.0,two-shot
10,10,2020-12-17,37138.0,3.0,1.0,two-shot
11,11,2020-12-17,37189.0,2.0,1.0,two-shot
12,12,2020-12-17,37203.0,36.0,1.0,two-shot
13,13,2020-12-17,37204.0,26.0,1.0,two-shot
14,14,2020-12-17,37205.0,54.0,1.0,two-shot
15,15,2020-12-17,37206.0,23.0,1.0,two-shot
16,16,2020-12-17,37207.0,8.0,1.0,two-shot
17,17,2020-12-17,37208.0,12.0,1.0,two-shot
18,18,2020-12-17,37209.0,48.0,1.0,two-shot
19,19,2020-12-17,37210.0,2.0,1.0,two-shot
20,20,2020-12-17,37211.0,14.0,1.0,two-shot
21,21,2020-12-17,37212.0,13.0,1.0,two-shot
22,22,2020-12-17,37214.0,8.0,1.0,two-shot
23,23,2020-12-17,37215.0,55.0,1.0,two-shot
24,24,2020-12-17,37216.0,14.0,1.0,two-shot
25,25,2020-12-17,37217.0,5.0,1.0,two-shot
26,26,2020-12-17,37219.0,3.0,1.0,two-shot
27,27,2020-12-17,37220.0,12.0,1.0,two-shot
28,28,2020-12-17,37221.0,34.0,1.0,two-shot
29,29,2020-12-17,,1.0,1.0,two-shot
30,30,2020-12-18,37013.0,50.0,1.0,two-shot
31,31,2020-12-18,37072.0,31.0,1.0,two-shot
32,32,2020-12-18,37072.0,1.0,2.0,two-shot
33,33,2020-12-18,37076.0,54.0,1.0,two-shot
34,34,2020-12-18,37080.0,4.0,1.0,two-shot
35,35,2020-12-18,37115.0,23.0,1.0,two-shot
36,36,2020-12-18,37138.0,22.0,1.0,two-shot
37,37,2020-12-18,37138.0,1.0,2.0,two-shot
38,38,2020-12-18,37189.0,4.0,1.0,two-shot
39,39,2020-12-18,37201.0,3.0,1.0,two-shot
40,40,2020-12-18,37203.0,177.0,1.0,two-shot
41,41,2020-12-18,37204.0,87.0,1.0,two-shot
42,42,2020-12-18,37204.0,1.0,2.0,two-shot
43,43,2020-12-18,37205.0,252.0,1.0,two-shot
44,44,2020-12-18,37206.0,60.0,1.0,two-shot
45,45,2020-12-18,37207.0,42.0,1.0,two-shot
46,46,2020-12-18,37208.0,59.0,1.0,two-shot
47,47,2020-12-18,37209.0,189.0,1.0,two-shot
48,48,2020-12-18,37210.0,12.0,1.0,two-shot
49,49,2020-12-18,37211.0,74.0,1.0,two-shot
50,50,2020-12-18,37212.0,121.0,1.0,two-shot
51,51,2020-12-18,37212.0,1.0,2.0,two-shot
52,52,2020-12-18,37213.0,1.0,1.0,two-shot
53,53,2020-12-18,37214.0,34.0,1.0,two-shot
54,54,2020-12-18,37215.0,171.0,1.0,two-shot
55,55,2020-12-18,37215.0,1.0,2.0,two-shot
56,56,2020-12-18,37216.0,30.0,1.0,two-shot
57,57,2020-12-18,37217.0,8.0,1.0,two-shot
58,58,2020-12-18,37218.0,13.0,1.0,two-shot
59,59,2020-12-18,37219.0,3.0,1.0,two-shot
60,60,2020-12-18,37220.0,25.0,1.0,two-shot
61,61,2020-12-18,37221.0,136.0,1.0,two-shot
62,62,2020-12-18,37228.0,2.0,1.0,two-shot
63,63,2020-12-18,,7.0,1.0,two-shot
64,64,2020-12-19,37013.0,60.0,1.0,two-shot
65,65,2020-12-19,37072.0,37.0,1.0,two-shot
66,66,2020-12-19,37076.0,55.0,1.0,two-shot
67,67,2020-12-19,37076.0,1.0,2.0,two-shot
68,68,2020-12-19,37080.0,7.0,1.0,two-shot
69,69,2020-12-19,37115.0,17.0,1.0,two-shot
70,70,2020-12-19,37138.0,23.0,1.0,two-shot
71,71,2020-12-19,37189.0,10.0,1.0,two-shot
72,72,2020-12-19,37201.0,3.0,1.0,two-shot
73,73,2020-12-19,37203.0,146.0,1.0,two-shot
74,74,2020-12-19,37203.0,2.0,2.0,two-shot
75,75,2020-12-19,37204.0,96.0,1.0,two-shot
76,76,2020-12-19,37204.0,4.0,2.0,two-shot
77,77,2020-12-19,37205.0,279.0,1.0,two-shot
78,78,2020-12-19,37205.0,4.0,2.0,two-shot
79,79,2020-12-19,37206.0,49.0,1.0,two-shot
80,80,2020-12-19,37206.0,2.0,2.0,two-shot
81,81,2020-12-19,37207.0,36.0,1.0,two-shot
82,82,2020-12-19,37208.0,60.0,1.0,two-shot
83,83,2020-12-19,37208.0,1.0,2.0,two-shot
84,84,2020-12-19,37209.0,159.0,1.0,two-shot
85,85,2020-12-19,37209.0,7.0,2.0,two-shot
86,86,2020-12-19,37210.0,15.0,1.0,two-shot
87,87,2020-12-19,37211.0,87.0,1.0,two-shot
88,88,2020-12-19,37211.0,2.0,2.0,two-shot
89,89,2020-12-19,37212.0,112.0,1.0,two-shot
90,90,2020-12-19,37214.0,32.0,1.0,two-shot
91,91,2020-12-19,37214.0,1.0,2.0,two-shot
92,92,2020-12-19,37215.0,162.0,1.0,two-shot
93,93,2020-12-19,37215.0,5.0,2.0,two-shot
94,94,2020-12-19,37216.0,30.0,1.0,two-shot
95,95,2020-12-19,37217.0,18.0,1.0,two-shot
96,96,2020-12-19,37218.0,9.0,1.0,two-shot
97,97,2020-12-19,37219.0,6.0,1.0,two-shot
98,98,2020-12-19,37220.0,32.0,1.0,two-shot
99,99,2020-12-19,37220.0,2.0,2.0,two-shot
100,100,2020-12-19,37221.0,143.0,1.0,two-shot
101,101,2020-12-19,37221.0,2.0,2.0,two-shot
102,102,2020-12-19,37228.0,4.0,1.0,two-shot
103,103,2020-12-19,,5.0,1.0,two-shot
104,104,2020-12-20,37013.0,33.0,1.0,two-shot
105,105,2020-12-20,37072.0,15.0,1.0,two-shot
106,106,2020-12-20,37076.0,26.0,1.0,two-shot
107,107,2020-12-20,37076.0,1.0,2.0,two-shot
108,108,2020-12-20,37080.0,3.0,1.0,two-shot
109,109,2020-12-20,37115.0,12.0,1.0,two-shot
110,110,2020-12-20,37138.0,10.0,1.0,two-shot
111,111,2020-12-20,37189.0,3.0,1.0,two-shot
112,112,2020-12-20,37201.0,3.0,1.0,two-shot
113,113,2020-12-20,37203.0,90.0,1.0,two-shot
114,114,2020-12-20,37204.0,47.0,1.0,two-shot
115,115,2020-12-20,37204.0,3.0,2.0,two-shot
116,116,2020-12-20,37205.0,58.0,1.0,two-shot
117,117,2020-12-20,37205.0,6.0,2.0,two-shot
118,118,2020-12-20,37206.0,51.0,1.0,two-shot
119,119,2020-12-20,37206.0,1.0,2.0,two-shot
120,120,2020-12-20,37207.0,20.0,1.0,two-shot
121,121,2020-12-20,37208.0,25.0,1.0,two-shot
122,122,2020-12-20,37208.0,1.0,2.0,two-shot
123,123,2020-12-20,37209.0,93.0,1.0,two-shot
124,124,2020-12-20,37209.0,1.0,2.0,two-shot
125,125,2020-12-20,37210.0,8.0,1.0,two-shot
126,126,2020-12-20,37211.0,50.0,1.0,two-shot
127,127,2020-12-20,37211.0,2.0,2.0,two-shot
128,128,2020-12-20,37212.0,63.0,1.0,two-shot
129,129,2020-12-20,37212.0,1.0,2.0,two-shot
130,130,2020-12-20,37214.0,16.0,1.0,two-shot
131,131,2020-12-20,37215.0,72.0,1.0,two-shot
132,132,2020-12-20,37215.0,1.0,2.0,two-shot
133,133,2020-12-20,37216.0,13.0,1.0,two-shot
134,134,2020-12-20,37217.0,4.0,1.0,two-shot
135,135,2020-12-20,37218.0,7.0,1.0,two-shot
136,136,2020-12-20,37219.0,4.0,1.0,two-shot
137,137,2020-12-20,37219.0,1.0,2.0,two-shot
138,138,2020-12-20,37220.0,13.0,1.0,two-shot
139,139,2020-12-20,37221.0,90.0,1.0,two-shot
